subject_id,sex,n_trials,alpha_mean,hdi_lo,hdi_hi
31,M,60,-12.632,-15.214,-10.239
47,F,60,-11.138,-14.965,-7.156
16,F,59,-7.761,-11.125,-4.531
33,F,58,-7.066,-10.781,-3.715
17,M,59,-6.626,-8.325,-5.095
08,F,60,-6.555,-9.904,-3.468
21,M,60,-5.886,-8.718,-3.071
22,M,58,-5.863,-7.516,-4.241
03,M,59,-5.791,-8.657,-3.13
50,M,61,-4.745,-5.313,-4.131
24,M,60,-4.73,-5.673,-3.819
40,M,60,-4.589,-6.97,-2.212
39,F,59,-4.417,-5.358,-3.431
01,M,54,-4.155,-4.906,-3.385
07,M,57,-3.818,-4.894,-2.757
43,M,58,-3.698,-5.157,-2.383
04,M,59,-3.65,-4.157,-3.085
42,F,60,-3.592,-4.468,-2.782
36,M,60,-3.518,-4.062,-2.968
41,M,57,-3.265,-5.195,-1.368
19,F,62,-3.243,-4.725,-1.762
18,F,60,-3.202,-4.181,-2.306
34,M,60,-3.152,-3.918,-2.451
45,F,61,-3.017,-3.652,-2.374
23,F,60,-2.942,-4.326,-1.68
20,M,60,-2.52,-3.167,-1.861
05,M,60,-2.295,-3.102,-1.54
46,F,60,-2.232,-3.423,-1.201
25,M,60,-2.138,-4.814,0.488
48,M,59,-2.121,-2.892,-1.392
26,M,60,-1.971,-2.949,-1.05
09,M,60,-1.829,-2.421,-1.214
38,M,59,-1.823,-4.373,0.662
28,M,59,-1.705,-2.282,-1.096
27,F,60,-1.432,-2.658,-0.245
44,F,60,-1.385,-2.271,-0.526
12,M,60,-1.161,-2.456,0.204
13,F,58,-0.999,-1.857,-0.134
32,M,60,-0.988,-1.812,-0.205
51,F,61,-0.658,-1.636,0.309
02,F,58,-0.656,-1.68,0.348
30,M,59,-0.567,-1.143,0.028
15,F,60,-0.459,-1.342,0.423
10,M,49,-0.398,-1.641,0.915
35,M,59,-0.256,-1.24,0.768
06,M,60,1.387,-0.351,3.086
29,M,59,1.522,0.158,2.787
