sex,metric,n,mean,sd,min,max
F,n_subjects,17,,,,
F,age_years,17,28.0,7.158910531638177,20.0,45.0
F,height_cm,17,169.02941176470588,5.030875260066874,161.0,178.0
F,mass_kg,17,69.56893010019628,6.762146784286996,61.0617585426448,79.4098032781828
F,leg_length_mm,17,803.7352941176471,42.94513856620547,739.0,875.0
F,iad_mm,17,239.52941176470588,11.916992316954515,223.0,262.0
M,n_subjects,30,,,,
M,age_years,30,29.266666666666666,5.0578265287969595,21.0,39.0
M,height_cm,30,177.48333333333332,6.125024044053206,167.5,188.8
M,mass_kg,30,80.25745526483534,16.04799733852795,54.1404927112299,136.136570143127
M,leg_length_mm,30,831.2,41.021987375989745,768.0,893.5
M,iad_mm,30,235.93333333333334,19.482854236363888,193.0,285.0
All,n_subjects,47,,,,
All,age_years,47,28.80851063829787,5.859360025420273,20.0,45.0
All,height_cm,47,174.4255319148936,7.0223700967788085,161.0,188.8
All,mass_kg,47,76.3913929712425,14.32534203875318,54.1404927112299,136.136570143127
All,leg_length_mm,47,821.2659574468086,43.36270826511077,739.0,893.5
All,iad_mm,47,237.2340425531915,17.08064346354038,193.0,285.0
